task_submit_id,If Header,If Body,Function Return,Syntax Change,Variable Usage and Assignment,Variable-type conversion,Operator,Variable-type Change,Value Change,Added Lines,Removed Lines,Testing,Function Body,Comment
213999,1,0,0,0,0,0,1,0,1,0,0,0,0,0
214005,1,0,0,0,0,0,1,0,1,0,0,0,0,0
214009,1,0,0,0,0,0,0,0,1,0,0,0,0,0
214014,1,0,0,0,1,0,0,0,0,0,0,0,0,0
214068,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214070,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214071,0,0,1,0,0,1,0,0,0,0,0,0,0,0
214072,0,0,1,0,0,1,0,0,0,0,0,0,0,0
214073,0,0,1,0,0,0,1,0,0,0,0,0,0,0
214074,0,0,1,0,0,1,0,0,0,0,0,0,0,0
214075,0,0,0,0,0,0,0,0,1,0,0,1,0,0
214080,0,0,1,0,0,1,0,0,0,0,0,0,0,0
214081,0,0,1,0,0,0,1,0,0,0,0,0,0,0
214083,0,0,0,0,0,1,0,0,0,0,0,1,0,0
214092,0,0,0,0,0,1,0,0,0,0,0,1,0,0
214094,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214096,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214097,0,0,1,1,0,0,0,0,0,0,0,1,0,0
214098,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214100,0,0,1,1,0,1,1,0,0,0,0,0,0,0
214101,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214105,0,0,1,0,1,0,1,0,0,0,0,0,0,0
214106,0,0,1,1,0,0,0,0,0,1,0,1,1,0
214108,1,0,0,1,0,0,1,0,0,0,0,0,0,0
214116,1,0,0,1,0,0,0,0,0,0,0,1,0,0
214120,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214123,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214125,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214128,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214132,1,0,0,0,0,1,1,0,0,0,0,0,0,0
214135,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214139,1,0,0,0,0,0,1,0,1,0,0,0,0,0
214142,1,0,0,0,1,0,1,0,1,0,0,0,0,0
214146,1,0,0,0,0,0,0,0,1,1,0,0,1,0
214148,1,0,0,0,1,0,0,0,0,0,0,0,0,0
214152,1,0,1,0,1,0,1,0,1,0,0,0,1,0
214153,1,0,0,1,0,0,0,0,0,0,0,0,0,0
214154,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214156,0,1,1,1,0,0,0,0,0,0,0,0,0,0
214157,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214159,1,0,0,0,0,0,1,0,1,0,0,0,0,0
214161,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214162,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214164,1,0,0,0,0,0,0,0,1,0,0,0,0,0
214179,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214181,0,0,0,0,0,0,1,0,0,0,0,0,1,0
214191,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214221,1,0,0,0,1,0,0,0,0,0,0,0,0,0
214222,0,1,0,0,1,0,0,0,0,0,0,0,0,0
214226,0,0,0,0,0,0,0,0,0,1,0,0,1,0
214232,0,0,0,0,0,0,0,0,0,1,1,0,1,0
214235,0,0,0,0,0,0,0,0,0,1,1,0,1,0
214239,0,0,0,0,0,0,0,0,0,1,0,0,1,0
214247,1,1,0,0,1,0,1,0,0,1,0,1,0,0
214258,1,1,1,1,0,0,1,0,0,0,0,0,0,0
214452,0,0,0,0,0,0,0,0,0,1,0,1,0,0
214454,0,0,0,0,0,0,0,1,0,0,0,1,0,0
214455,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214459,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214464,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214465,0,0,0,1,1,0,0,0,0,0,0,1,0,0
214466,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214470,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214476,1,0,0,1,1,0,0,0,0,0,0,0,0,0
214477,0,0,0,0,1,0,0,0,0,0,0,1,0,0
214478,0,0,0,1,1,0,0,0,0,0,0,1,0,0
214480,1,0,0,1,1,0,0,0,0,0,0,1,0,0
214481,0,0,0,0,1,0,0,0,0,0,0,1,0,0
214482,0,0,0,0,1,0,0,0,0,0,0,1,0,0
214484,1,0,0,1,0,0,0,0,0,0,0,0,0,0
214599,0,0,0,1,1,0,0,0,0,0,0,1,1,0
214600,0,0,0,0,1,0,0,0,0,0,0,0,1,0
214603,0,0,0,0,0,0,0,0,0,1,1,1,1,0
214605,0,0,0,0,1,0,0,0,0,0,0,0,1,0
214607,0,0,0,0,0,0,1,0,0,0,0,0,1,0
214615,0,0,0,1,0,0,0,0,0,0,0,0,1,0
214618,0,0,0,1,1,0,0,0,0,0,0,0,1,0
214641,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214643,0,0,1,0,1,0,0,0,0,0,0,0,0,0
214672,0,1,1,0,0,1,0,0,0,0,0,0,0,0
214678,1,0,0,1,1,0,0,0,0,0,0,0,0,0
214681,1,0,0,1,0,0,0,0,0,0,0,0,0,0
214687,1,0,0,0,0,1,0,0,0,0,0,0,0,0
214692,1,0,0,0,0,1,1,0,0,0,0,0,0,0
214693,0,0,1,0,0,0,0,0,0,1,0,0,0,0
214702,1,0,0,0,0,0,1,0,1,0,0,0,0,0
214705,0,1,1,0,0,0,1,0,0,0,0,0,0,0
214706,0,1,1,1,0,0,1,0,0,0,0,0,0,0
214707,1,0,0,0,1,0,1,0,0,0,0,0,0,0
214709,0,1,1,0,0,1,0,0,0,0,0,0,0,0
214711,0,1,1,1,0,0,0,0,0,0,0,0,0,0
214713,0,0,0,0,0,0,0,0,0,1,0,0,1,0
214714,0,0,0,1,0,0,0,0,0,0,0,0,1,0
214715,0,0,0,1,0,0,0,0,0,0,0,0,1,0
207531,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207535,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208227,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208273,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208674,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208973,0,0,0,0,0,0,0,0,0,0,1,0,0,0
209024,0,0,0,0,0,0,0,0,0,0,1,1,0,0
209026,0,0,0,0,0,0,0,0,0,0,1,1,0,0
